nombre,ele_m,dist_km,lat,lon,azimut_deg
Cerro del Collado de la Torrecilla,1524,17.4,36.90137,-4.08312,2.0
Veas,703,8.1,36.8169,-4.07361,10.4
Maroma,2069,18.0,36.90279,-4.04548,12.7
Mojón de tres Términos,2065,18.1,36.90337,-4.04363,13.2
Cima de Tejeda,2069,18.3,36.90419,-4.03861,14.5
Cerro del Sol,2068,18.5,36.90512,-4.03625,15.0
Cerro el Fuerte,1509,16.6,36.88891,-4.03973,15.6
Cerro Juan María,576,9.6,36.8269,-4.0564,18.2
Cerro Tacita de Plata,1893,18.5,36.90231,-4.02398,18.6
Cerro la Cuna,1630,17.6,36.89417,-4.02376,19.6
Cerro del Tablón,824,14.6,36.86818,-4.03434,19.9
Cerro de Santiago,1657,18.6,36.89171,-3.99083,28.4
Cerro Malas Camas,1793,20.1,36.89891,-3.97222,31.5
Benthomiz,708,7.8,36.80421,-4.04389,32.0
Cerro de Albucaz,1735,19.5,36.89221,-3.97057,33.0
Cerro de los Majanos,1812,22.2,36.89811,-3.92972,40.0
Cerro Pozuelo o de la Chapa,1827,22.0,36.8914,-3.92472,42.1
La Chapa,1817,22.0,36.89036,-3.92351,42.5
Cerro Verde,1327,18.4,36.8622,-3.9439,44.9
Cerro Atalaya,1262,17.9,36.85671,-3.94557,46.0
Cerro de los Frailes,1502,20.8,36.87187,-3.91961,47.1
Cerro Gavilán,1142,16.6,36.8447,-3.95167,48.0
Cerro de Rajas Negras,1650,20.8,36.86921,-3.91639,48.2
Cerro de los Corrales,1674,21.2,36.8703,-3.91055,48.9
Cerro de los Llanos,1649,21.3,36.86809,-3.90751,49.9
Cerro de Mota,1656,22.0,36.8714,-3.90055,50.2
El Cerro,713,12.4,36.81471,-3.98194,51.2
Cerro de Juliana,1004,15.3,36.82921,-3.95501,52.1
Cerro de la Venta Panaderos,1696,22.0,36.8658,-3.89555,52.2
Cerro Lucero,1782,22.4,36.8675,-3.89055,52.5
Cerro de los Bojes,1417,21.2,36.85941,-3.90028,53.0
Cerro de los Machos,1589,23.3,36.8603,-3.87195,56.5
Cerrillo de la Hierba,1566,23.3,36.855,-3.86779,58.2
Cerro Cisne,1491,21.8,36.84357,-3.87959,59.6
La Cadena,1645,24.3,36.85471,-3.85416,59.8
Piedra Sillada,1678,25.4,36.85811,-3.84251,60.2
Cerro de Cabañeros,1716,27.7,36.85889,-3.81444,62.6
El Fuerte,976,17.5,36.81419,-3.91416,63.8
Navachica,1831,26.8,36.8419,-3.81528,66.2
Altos de la Mina,1689,25.2,36.8356,-3.83084,66.4
Almendrón,1514,24.1,36.8256,-3.84,68.0
Torre de Almendrón,1335,23.8,36.8228,-3.84137,68.6
Cerro del Barranco del Pino,1619,27.5,36.8203,-3.79668,72.2
Alto de la Cuesta del Espartal,1601,26.8,36.81471,-3.80279,73.1
Cielo,1508,25.4,36.80486,-3.81507,74.7
Cerro Molinero,1106,24.1,36.7975,-3.82861,75.9
Cerro Cabeza del Caballo,1188,26.0,36.79561,-3.80528,77.4
Cerro Pastora,447,14.3,36.76221,-3.93139,82.3
Puerto,359,14.2,36.7522,-3.93111,86.7
Balcón del Peñoncillo,123,13.2,36.73911,-3.94222,92.8
Santopitar,1019,19.2,36.8033,-4.29278,289.8
Cerro de Masmullar,726,20.0,36.84421,-4.27722,303.5
Cerro de Cútar,592,15.4,36.8236,-4.2325,304.6
Alto de La Barraca,30,1.3,36.75193,-4.1014,307.2
Morrón de Gragea,1298,35.4,36.9542,-4.38945,311.2
Tajo del Tesorillo,1281,35.1,36.95582,-4.38254,312.1
Morrón de la Cruz,1429,34.6,36.96529,-4.36333,315.3
Morrón de la Cruz,1445,34.9,36.96871,-4.36365,315.7
Cerro de la Caldera,918,31.2,36.94939,-4.32894,316.9
Sierra de Camorolos,1345,33.2,36.96747,-4.3375,318.4
Peña de Hierro,474,18.5,36.8711,-4.22499,319.4
Cerro de Castejón,972,30.3,36.95921,-4.29973,322.0
Sierra del Jobo,1610,33.0,36.9826,-4.31181,323.3
Chamizo,1641,33.0,36.9833,-4.31029,323.5
La Torre,554,15.4,36.8564,-4.19223,323.7
Tajo de Gomer,1129,29.0,36.9578,-4.27834,324.7
Cerro Agudo,559,14.9,36.8558,-4.1839,325.8
El Gallo,1363,29.6,36.97891,-4.2489,331.5
Pico de Vilo,1415,27.7,36.9669,-4.23167,333.0
La Peña,1429,28.3,36.98233,-4.20399,339.0
La Torca,1500,27.6,36.97927,-4.19266,340.7
Hoyo del Toro,1352,23.7,36.95331,-4.14612,347.8
